,name,rating,reviews,salary,interviews,jobs
471,ITC Hotels,4.1,2.1k,5.3k,105,--
472,IndusInd General Insurance,3.6,2.1k,7.2k,100,6
473,Ola Cabs,3.3,2k,8.9k,154,7
474,Delphi TVS,3.8,2k,5.6k,102,--
475,Biological E,4.2,2k,7.1k,145,21
476,Morgan Stanley,3.6,2k,27.1k,340,4
477,Renault-Nissan,4.1,2k,7.5k,127,--
478,SGS,3.8,2k,6.5k,129,120
479,Extramarks Education,3.3,2k,7.4k,176,5
480,EPAM Systems,3.7,2k,23.4k,642,48
481,YASH Technologies,3.7,2k,16.3k,172,406
482,K12 Techno Services,3.7,2k,5.3k,429,363
483,Aditya Birla Health Insurance Co,3.7,2k,7.3k,127,2
484,Senco Gold,4.4,2k,1.5k,634,--
485,Novartis,4.1,2k,10.3k,168,97
